Headline,Word_Count,Character_Count
From dinners with Travis Kalanick to fired after maternity leave: One of CloudKitchens’ earliest employees is suing,17,115
OpenAI rolls out Advanced Voice Mode with more voices and a new look,13,68
ByteDance is shutting down TikTok Music globally,7,48
"EGYM, a connected fitness startup conceived after the founder hit a wall at the gym, lands $200M at a $1.2B+ valuation",21,118
Sam Altman catapults past founder mode into ‘god mode’ with latest AI post,13,74
The Latest,2,10
"Meet Tennibot, the tennis ball roomba",6,37
"EGYM, a connected fitness startup conceived after the founder hit a wall at the gym, lands $200M at a $1.2B+ valuation",21,118
The beloved Rodecaster board gets a video production counterpart,9,64
How one female VC is teaching kids about startups and women in tech,13,67
"Northvolt lays off 1,600 workers, but it’s not the end for Europe’s battery champion",14,84
OpenAI rolls out Advanced Voice Mode with more voices and a new look,13,68
Nothing launches a slick pair of $149 open-ear headphones,9,57
Toyota Ventures’ Jim Adler says climate tech startups need to secure future buyers,13,82
From dinners with Travis Kalanick to fired after maternity leave: One of CloudKitchens’ earliest employees is suing,17,115
Rivian reveals first $10M in grants for long-promised Rivian Foundation,10,71
"Moxie, which helps nurses launch medspas, raises a preemptive Series B from Lachy Groom",14,87
Data platform Airbyte can now create API connectors by reading the docs,12,71
Just 4 days left to save up to $600 on TechCrunch Disrupt 2024 passes,14,69
Tech YouTuber MKBHD’s Panels app is a bit underwhelming,9,55
"As the open social web grows, a new nonprofit looks to expand the ‘fediverse’",14,77
A startup from ex-Revolut employees uses AI to automate accounts — but hopes to keep accountants in jobs,18,104
"Microsoft claims its new tool can correct AI hallucinations, but experts advise caution",13,87
TikTok comes for Google’s ad business as it starts letting advertisers target its search results page,16,101
Workera’s CEO was mentored by Andrew Ng. Now he wants an AI agent to mentor you.,16,80
Sequoia’s first space investment since SpaceX is in sunlight-seller Reflect Orbital,11,83
About,1,5
Legal,1,5
Trending Tech Topics,3,20
